	RUT	N°ALUMNO	SEXO	CURRICULUM	CODIGO PROGRAMA	PROGRAMA	CODIGO PREFERENCIA ESPECIALIDAD	PREFERENCIA ESPECIALIDAD	CODIGO PREFERENCIA MAJOR	PREFERENCIA MAJOR	CODIGO MAJOR SELECCIONADO	MAJOR SELECCIONADO	CODIGO MINOR SELECCIONADO	MINOR SELECCIONADO	TRACK/ÁREA	PLAN DE ESTUDIOS PERSONALIZADO	ESTADO	AÑO INGRESO	VÍA DE INGRESO	TIPO INGRESO ESPECIAL	PROM. PPA	TOTAL CRÉDITOS APROBADOS	TOTAL CRÉDITOS CONVALIDADOS	TOTAL CRÉDITOS APROBADOS+CONVALIDADOS	TOTAL CRÉDITOS REPROBADOS	TOTAL CRÉDITOS INSCRITOS	ESTUDIOS VIGENTES(PARALELO)	ESTUDIOS NO VIGENTES(FINALIZADOS POR ALGÚN MOTIVO)	LICENCIADO	FECHA LIC.	EGRESADO	FECHA EGR.	TITULADO	COLEGIO REGIÓN	COLEGIO TIPO	COLEGIO EGRESO	ESTADO DSRD ACTUAL	TIPO INGRESO	PUESTO
204	190	190	M	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"5,10"	50	0	50	0	50		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	508
205	191	191	M	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN	Track Ingeniería y Diseño	NO	REGULAR	2013	ORDINARIA PAA		"5,11"	425	0	425	70	545	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	645
206	192	192	F	C2013	40013	ING CIVIL	 	 	81021	MAJOR EN INGENIERÍA BIOMÉDICA	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 1: Externalidades e Impacto Ambiental	SI	REGULAR	2013	ORDINARIA PAA		"4,88"	460	0	460	40	545	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	24
207	193	193	M	C2013	40013	ING CIVIL	-	No lo tengo claro aún	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81014	MAJOR EN INGENIERÍA DE CONSTRUCCIÓN	81151	MINOR DE PROFUNDIDAD EN OBRAS CIVILES		NO	REGULAR	2013	ORDINARIA PAA		"5,28"	495	0	495	20	555	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	542
208	194	194	M	C2013	40013	ING CIVIL	 	 	 	 	81017	MAJOR EN INGENIERÍA AMBIENTAL	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"4,53"	335	0	335	130	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	664
209	195	195	F	C2013	40013	ING CIVIL	 	 	 	 	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 1: Externalidades e Impacto Ambiental	SI	REGULAR	2013	ORDINARIA PAA		"4,70"	440	0	440	45	545	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	163
210	196	196	M	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,62"	20	0	20	30	50		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	616
211	197	197	M	C2013	40013	ING CIVIL	 	 	 	 	81006	MAJOR EN INGENIERÍA CIVIL	10000	SELECCIONAR ESTE TEXTO PARA REALIZAR INSCRIPCIÓN	Track Diseño y Construcción de Obras	NO	REGULAR	2013	ORDINARIA PAA		"5,04"	485	0	485	40	590	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	371
212	198	198	M	C2013	40013	ING CIVIL	 	 	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81101	MINOR DE AMPLITUD EN MATEMÁTICAS APLICADAS		NO	REGULAR	2013	ORDINARIA PAA		"5,63"	490	0	490	10	545	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	402
213	199	199	F	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 1: Externalidades e Impacto Ambiental	NO	REGULAR	2013	ORDINARIA PAA		"4,89"	445	0	445	60	555	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	647
214	200	200	M	C2013	40013	ING CIVIL	 	 	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,10"	475	0	475	20	525	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	470
215	201	201	M	C2013	40013	ING CIVIL	40082	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Computación"	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81152	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN		SI	REGULAR	2013	ORDINARIA PAA		"4,54"	430	0	430	70	550	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	157
216	202	202	F	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	REGULAR	2013	ORDINARIA PAA		"4,89"	440	0	440	40	525	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	357
217	203	203	M	C2013	40013	ING CIVIL	40094	"Ingeniero Civil de Industrias, Diploma en Ingeniería Matemática"	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81124	MINOR DE AMPLITUD EN INGENIERÍA ELÉCTRICA	Track 1: Modelamiento Determinístico	NO	AUSENTE POR NO INSCRITO EN CURSO	2013	ORDINARIA PAA		"5,70"	270	0	270	10	280	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	227	-	519
218	204	204	M	C2013	40013	ING CIVIL	40093	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Minería"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81112	MINOR DE AMPLITUD EN LOGÍSTICA Y TRANSPORTE DE CARGA		SI	REGULAR	2013	ORDINARIA PAA		"4,75"	455	0	455	60	570	ING CIVIL		NO		NO		NO	V	PARTICULAR PAGADO	2012	100	-	656
219	205	205	M	C2013	40013	ING CIVIL	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81008	MAJOR EN INGENIERÍA MECÁNICA	81124	MINOR DE AMPLITUD EN INGENIERÍA ELÉCTRICA		NO	REGULAR	2013	ORDINARIA PAA		"5,24"	385	45	430	0	445	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	428
220	206	206	M	C2013	40013	ING CIVIL	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,69"	350	0	350	50	450	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	287
221	207	207	M	C2013	40013	ING CIVIL	-	No lo tengo claro aún	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"4,94"	230	0	230	10	300	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	239
222	208	208	M	C2013	40013	ING CIVIL	40052	"Ingeniero Civil de Industrias, Diploma en Ingeniería Mecánica"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 3: Manejo de Bases de Datos	NO	REGULAR	2013	ORDINARIA PAA		"5,14"	520	0	520	30	550	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	56
223	209	209	M	C2013	40013	ING CIVIL	40092	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Transporte"	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,64"	390	0	390	75	515	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	119
224	211	211	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81010	MAJOR EN INGENIERÍA HIDRÁULICA	81132	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA CIVIL	Track Ingeniería Hidráulica	NO	NO VIGENTE RENDIMIENTO ACADEMICO	2013	ORDINARIA PAA		"4,45"	140	50	190	125	265		"LIC CCNN Y MATEMATIC(), ING CIVIL()"	NO		NO		NO	VI	PARTICULAR PAGADO	2011	334	-	483
225	212	212	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,73"	410	0	410	60	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	151
226	215	215	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería	NO	REGULAR	2013	ORDINARIA PAA		"4,21"	330	0	330	120	500	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	646
227	216	216	M	C2013	40013	ING CIVIL	40095	"Ingeniero Civil de Industrias, Diploma en Ingeniería en Tecnologías de Información"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"5,17"	60	0	60	40	100		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	278
228	217	217	M	C2013	40013	ING CIVIL	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	REGULAR	2013	ORDINARIA PAA		"4,87"	440	0	440	70	560	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	195
229	219	219	M	C2013	40013	ING CIVIL	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track 1: Modelamiento Determinístico	NO	REGULAR	2013	ORDINARIA PAA		"5,73"	475	0	475	0	505	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	36
230	220	220	F	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"5,13"	40	0	40	60	100		ING CIVIL()	NO		NO		NO	VII	PARTICULAR PAGADO	2012	333	-	527
231	222	222	F	C2013	40013	ING CIVIL	40042	"Ingeniero Civil, Diploma en Ingeniería de Transporte"	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,97"	500	0	500	40	605	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	494
232	223	223	M	C2013	40013	ING CIVIL	 	 	 	 	81006	MAJOR EN INGENIERÍA CIVIL	10000	SELECCIONAR ESTE TEXTO PARA REALIZAR INSCRIPCIÓN	Track Diseño y Construcción de Obras	NO	REGULAR	2013	ORDINARIA PAA		"5,25"	400	0	400	10	460	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	254
233	224	224	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81118	MINOR DE AMPLITUD EN INGENIERÍA MECÁNICA		NO	REGULAR	2013	ORDINARIA PAA		"4,93"	460	0	460	20	530	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	539
234	225	225	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 2: Herramientas de Análisis y Modelación (versión transporte)	NO	REGULAR	2013	ORDINARIA PAA		"5,67"	525	0	525	10	595	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	62
235	227	227	M	C2013	40013	ING CIVIL	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81112	MINOR DE AMPLITUD EN LOGÍSTICA Y TRANSPORTE DE CARGA		NO	REGULAR	2013	ORDINARIA PAA		"4,78"	450	0	450	50	550	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	314
236	228	228	M	C2013	40013	ING CIVIL	40093	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Minería"	81007	MAJOR EN INGENIERÍA MINERA	81007	MAJOR EN INGENIERÍA MINERA	81142	MINOR DE PROFUNDIDAD EN GESTIÓN MINERA		SI	REGULAR	2013	ORDINARIA PAA		"5,11"	440	60	500	50	540	ING CIVIL	LIC CCNN Y MATEMATIC()	NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2011	100	-	358
237	229	229	F	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"5,13"	55	0	55	40	95		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	605
238	230	230	M	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81155	MINOR DE PROFUNDIDAD ARTICULACIÓN PROYECTOS DE DISEÑO	Track Diseño	NO	AUSENTE POR NO INSCRITO EN CURSO	2013	ORDINARIA PAA		"4,75"	450	0	450	70	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	227	-	111
239	231	231	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 2: Herramientas de Análisis y Modelación (versión transporte)	NO	REGULAR	2013	ORDINARIA PAA		"5,56"	470	25	495	0	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	120
240	232	232	M	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81132	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA CIVIL		SI	REGULAR	2013	ORDINARIA PAA		"5,26"	475	0	475	0	530	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	351
241	233	233	M	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"5,62"	60	0	60	40	100		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	99
242	234	234	M	C2013	40013	ING CIVIL	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81008	MAJOR EN INGENIERÍA MECÁNICA	81145	MINOR DE PROFUNDIDAD EN MECATRÓNICA		SI	TERMINO DE CICLO	2013	ORDINARIA PAA		"5,76"	415	0	415	0	415	"ING CIVIL MECANICO, MAG EN CS INGENIERIA"	ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	341	-	98
243	235	235	F	C2013	40013	ING CIVIL	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"5,81"	485	0	485	0	530	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	67
244	236	236	M	C2013	40013	ING CIVIL	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81118	MINOR DE AMPLITUD EN INGENIERÍA MECÁNICA	Track Ingeniería	NO	REGULAR	2013	ORDINARIA PAA		"4,29"	340	0	340	120	495	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	389
245	237	237	F	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 2: Herramientas de Análisis y Modelación (versión transporte)	NO	REGULAR	2013	ORDINARIA PAA		"4,73"	380	0	380	105	540	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	503
246	238	238	M	C2013	40013	ING CIVIL	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"5,29"	440	0	440	0	485	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	94
247	240	240	M	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"2,78"	0	0	0	50	50		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	302
248	241	241	M	C2013	40013	ING CIVIL	40092	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Transporte"	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,67"	430	0	430	90	580	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	347
249	242	242	M	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENDIMIENTO ACADEMICO	2013	ORDINARIA PAA		"0,00"	0	0	0	60	60		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	334	-	232
250	244	244	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,89"	390	0	390	30	480	ING CIVIL		NO		NO		NO	X	PARTICULAR PAGADO	2012	100	-	77
251	245	245	M	C2013	40013	ING CIVIL	40062	"Ingeniero Civil de Industrias, Diploma en Ingeniería Eléctrica"	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81149	MINOR DE PROFUNDIDAD EN ENERGÍA ELÉCTRICA		NO	REGULAR	2013	ORDINARIA PAA		"5,66"	515	0	515	10	570	ING CIVIL		NO		NO		NO	XI	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	220
252	246	246	F	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,73"	30	0	30	20	50		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	422
253	247	247	M	C2013	40013	ING CIVIL	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,16"	20	0	20	30	50		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	629
254	249	249	F	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"5,01"	410	0	410	50	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	529
255	250	250	M	C2013	40013	ING CIVIL	40095	"Ingeniero Civil de Industrias, Diploma en Ingeniería en Tecnologías de Información"	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	REGULAR	2013	ORDINARIA PAA		"5,38"	465	0	465	0	525	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	40
256	251	251	M	C2013	40013	ING CIVIL	40052	"Ingeniero Civil de Industrias, Diploma en Ingeniería Mecánica"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81008	MAJOR EN INGENIERÍA MECÁNICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	REGULAR	2013	ORDINARIA PAA		"5,22"	440	50	490	10	490	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	140
257	252	252	M	C2013	40013	ING CIVIL	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81112	MINOR DE AMPLITUD EN LOGÍSTICA Y TRANSPORTE DE CARGA		NO	REGULAR	2013	ORDINARIA PAA		"4,71"	340	0	340	80	480	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	621
258	253	253	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81149	MINOR DE PROFUNDIDAD EN ENERGÍA ELÉCTRICA		NO	REGULAR	2013	ORDINARIA PAA		"5,38"	390	20	410	20	460	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2011	100	-	280
259	255	255	M	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería	NO	REGULAR	2013	ORDINARIA PAA		"5,01"	485	0	485	60	610	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	415
260	256	256	M	C2013	40013	ING CIVIL	 	 	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81134	MINOR DE PROFUNDIDAD EN AUTOMATIZACIÓN E INTELIGENCIA COMPUTACIONAL		NO	TERMINO DE CICLO	2013	ORDINARIA PAA		"5,77"	420	0	420	0	420	"ING CIVIL ELECTRICA, MAG EN CS INGENIERIA"	ING CIVIL()	NO		NO		NO	X	PARTICULAR PAGADO	2012	341	-	197
261	257	257	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,41"	350	0	350	110	510	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	359
262	258	258	F	C2013	40013	ING CIVIL	 	 	81021	MAJOR EN INGENIERÍA BIOMÉDICA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"5,67"	465	45	510	0	515	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	216
263	259	259	M	C2013	40013	ING CIVIL	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"4,42"	310	0	310	130	500	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	554
264	260	260	M	C2013	40013	ING CIVIL	 	 	 	 	 	 	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,83"	40	0	40	55	95		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	207
265	262	262	F	C2013	40013	ING CIVIL	-	No lo tengo claro aún	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81104	MINOR DE AMPLITUD EN FUNDAMENTOS DE INGENIERÍA BIOLÓGICA	Track Ingeniería y Diseño	SI	REGULAR	2013	ORDINARIA PAA		"5,38"	480	0	480	30	560	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	172
266	263	263	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,50"	500	0	500	0	530	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	8
267	265	265	M	C2013	40013	ING CIVIL	40095	"Ingeniero Civil de Industrias, Diploma en Ingeniería en Tecnologías de Información"	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	REGULAR	2013	ORDINARIA PAA		"4,61"	390	0	390	110	550	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	315
